x_val,y_val,depth,delta,LeafId,originLeaf
-814.8148148148148,201.1535198184717,3,37.03703703703703,94,5
271.6049382716049,608.5392319035577,4,12.345679012345677,95,58
296.29629629629625,714.6438255122214,4,12.345679012345677,96,58
320.9876543209876,676.9492374479264,4,12.345679012345677,97,58
-699.5884773662551,1096.1598028934518,5,4.115226337448559,98,35
-691.358024691358,1053.0831723536708,5,4.115226337448559,99,35
-683.1275720164608,995.2749911370545,5,4.115226337448559,100,35
869.6844993141289,1234.5251774549672,6,1.3717421124828528,101,52
872.4279835390946,1250.2929278139704,6,1.3717421124828528,102,52
875.1714677640604,1264.3259861667643,6,1.3717421124828528,103,52
790.1234567901234,289.04808633859045,4,12.345679012345677,104,17
814.8148148148148,636.8122801815282,4,12.345679012345677,105,17
839.5061728395061,959.7427903406007,4,12.345679012345677,106,17
559.6707818930041,976.1078688816231,5,4.115226337448559,107,83
567.9012345679013,966.5009839791858,5,4.115226337448559,108,83
576.1316872427984,940.0429047380238,5,4.115226337448559,109,83
919.0672153635115,1237.9811246529057,6,1.3717421124828528,110,40
921.8106995884773,1220.6801829407955,6,1.3717421124828528,111,40
924.554183813443,1201.6512705929847,6,1.3717421124828528,112,40
-246.91358024691357,417.61975669766076,4,12.345679012345677,113,33
-222.2222222222222,578.5258890283715,4,12.345679012345677,114,33
-197.53086419753083,615.8403015269722,4,12.345679012345677,115,33
831.275720164609,858.7961069514649,5,4.115226337448559,116,106
839.5061728395061,959.7427903406007,5,4.115226337448559,117,106
847.7366255144033,1051.1391608471004,5,4.115226337448559,118,106
861.4540466392317,1177.2020797347925,6,1.3717421124828528,119,51
864.1975308641975,1197.9371908007706,6,1.3717421124828528,120,51
866.9410150891632,1217.0596924978545,6,1.3717421124828528,121,51
-395.0617283950617,756.9762476723754,4,12.345679012345677,122,25
-370.3703703703704,561.6593126787453,4,12.345679012345677,123,25
-345.67901234567904,331.08105732963656,4,12.345679012345677,124,25
534.9794238683127,904.7415627579584,5,4.115226337448559,125,73
543.2098765432098,944.6159753567637,5,4.115226337448559,126,73
551.440329218107,968.6955881435463,5,4.115226337448559,127,73
927.2976680384086,1180.9309068666757,6,1.3717421124828528,128,74
930.0411522633743,1158.5590168958302,6,1.3717421124828528,129,74
932.7846364883401,1134.5788349490213,6,1.3717421124828528,130,74
123.4567901234568,541.6166089450506,4,12.345679012345677,131,56
148.14814814814815,475.95845857736316,4,12.345679012345677,132,56
172.8395061728395,324.1942902807903,4,12.345679012345677,133,56
-773.6625514403291,762.1325809701355,5,4.115226337448559,134,26
-765.432098765432,856.1494931438715,5,4.115226337448559,135,26
-757.2016460905348,939.0066472053121,5,4.115226337448559,136,26
-718.7928669410151,1133.6822044359596,6,1.3717421124828528,137,63
-716.0493827160493,1133.9273157179582,6,1.3717421124828528,138,63
-713.3058984910836,1132.2823574568117,6,1.3717421124828528,139,63
-98.76543209876542,370.4835094097783,4,12.345679012345677,140,44
-74.07407407407406,473.0481821996834,4,12.345679012345677,141,44
-49.38271604938271,452.43024649658474,4,12.345679012345677,142,44
-674.8971193415638,924.2524335557532,5,4.115226337448559,143,36
-666.6666666666666,841.8727709640751,5,4.115226337448559,144,36
-658.4362139917695,750.2926167991634,5,4.115226337448559,145,36
853.2235939643346,1105.818775148381,6,1.3717421124828528,146,50
855.9670781893003,1131.089620364652,6,1.3717421124828528,147,50
858.7105624142661,1154.902376584608,6,1.3717421124828528,148,50
-24.691358024691354,395.1002943804277,4,12.345679012345677,149,45
0.0,418.9829,4,12.345679012345677,150,45
24.691358024691354,442.8655056195722,4,12.345679012345677,151,45
584.3621399176955,897.4049816914428,5,4.115226337448559,152,84
592.5925925925926,839.7312528779416,5,4.115226337448559,153,84
600.8230452674898,768.5950863063006,5,4.115226337448559,154,84
-727.0233196159122,1121.6022642212527,6,1.3717421124828528,155,62
-724.2798353909465,1127.515115406819,6,1.3717421124828528,156,62
-721.5363511659807,1131.5441101663282,6,1.3717421124828528,157,62
49.38271604938271,385.5355535034152,4,12.345679012345677,158,46
74.07407407407406,364.9176178003165,4,12.345679012345677,159,46
98.76543209876542,467.4822905902216,4,12.345679012345677,160,46
-427.9835390946502,831.7551729126005,5,4.115226337448559,161,61
-419.7530864197531,837.7794106763133,5,4.115226337448559,162,61
-411.522633744856,826.7981551504898,5,4.115226337448559,163,61
-710.5624142661179,1128.7552605036826,6,1.3717421124828528,164,64
-707.8189300411522,1123.358981436059,6,1.3717421124828528,165,64
-705.0754458161864,1116.1114975306082,6,1.3717421124828528,166,64
-172.8395061728395,513.7715097192097,4,12.345679012345677,167,34
-148.14814814814815,362.0073414226368,4,12.345679012345677,168,34
-123.4567901234568,296.3491910549493,4,12.345679012345677,169,34
510.2880658436214,706.4423619107924,5,4.115226337448559,170,72
518.5185185185185,783.5921580220861,5,4.115226337448559,171,72
526.7489711934156,850.4500797995015,5,4.115226337448559,172,72
-735.2537722908093,1092.704362524395,6,1.3717421124828528,173,88
-732.5102880658435,1104.1776821491471,6,1.3717421124828528,174,88
-729.7668038408777,1113.8175152143963,6,1.3717421124828528,175,88
