x_val,y_val,depth,delta,LeafId,originLeaf
-666.6666666666666,841.8727709640751,1,333.3333333333333,2,1
0.0,418.9829,1,333.3333333333333,3,1
666.6666666666666,-3.9069709640751853,1,333.3333333333333,4,1
-888.8888888888888,-469.48192325480784,2,111.1111111111111,5,2
-666.6666666666666,841.8727709640751,2,111.1111111111111,6,2
-444.44444444444446,769.6817413477598,2,111.1111111111111,7,2
-222.2222222222222,578.5258890283715,2,111.1111111111111,8,3
0.0,418.9829,2,111.1111111111111,9,3
222.2222222222222,259.4399109716285,2,111.1111111111111,10,3
-740.7407407407406,1064.3670622405466,3,37.03703703703703,11,6
-666.6666666666666,841.8727709640751,3,37.03703703703703,12,6
-592.5925925925926,-1.7654528779416978,3,37.03703703703703,13,6
444.44444444444446,68.2840586522401,2,111.1111111111111,14,4
666.6666666666666,-3.9069709640751853,2,111.1111111111111,15,4
888.8888888888888,1307.447723254808,2,111.1111111111111,16,4
814.8148148148148,636.8122801815282,3,37.03703703703703,17,16
888.8888888888888,1307.447723254808,3,37.03703703703703,18,16
962.9629629629628,779.9915454367089,3,37.03703703703703,19,16
864.1975308641975,1197.9371908007706,4,12.345679012345677,20,18
888.8888888888888,1307.447723254808,4,12.345679012345677,21,18
913.5802469135801,1267.2705848121902,4,12.345679012345677,22,18
-518.5185185185185,54.37364197791385,3,37.03703703703703,23,7
-444.44444444444446,769.6817413477598,3,37.03703703703703,24,7
-370.3703703703704,561.6593126787453,3,37.03703703703703,25,7
-765.432098765432,856.1494931438715,4,12.345679012345677,26,11
-740.7407407407406,1064.3670622405466,4,12.345679012345677,27,11
-716.0493827160493,1133.9273157179582,4,12.345679012345677,28,11
880.6584362139916,1287.059364016779,5,4.115226337448559,29,21
888.8888888888888,1307.447723254808,5,4.115226337448559,30,21
897.119341563786,1310.988778582698,5,4.115226337448559,31,21
-296.29629629629625,123.3219744877785,3,37.03703703703703,32,8
-222.2222222222222,578.5258890283715,3,37.03703703703703,33,8
-148.14814814814815,362.0073414226368,3,37.03703703703703,34,8
-691.358024691358,1053.0831723536708,4,12.345679012345677,35,12
-666.6666666666666,841.8727709640751,4,12.345679012345677,36,12
-641.9753086419753,549.3476981878549,4,12.345679012345677,37,12
905.349794238683,1297.5373533072511,5,4.115226337448559,38,22
913.5802469135801,1267.2705848121902,5,4.115226337448559,39,22
921.8106995884773,1220.6801829407955,5,4.115226337448559,40,22
894.3758573388202,1311.6959858356781,6,1.3717421124828528,41,31
897.119341563786,1310.988778582698,6,1.3717421124828528,42,31
